,ID,Name,Frequency [MHz],Bandwidth [kHz]/Baud,Status,Description,Source,Orbit
73,53347,2022-090B,None,None,Active,None,CelesTrak,LEO
74,53348,2022-090C,None,None,Active,None,CelesTrak,LEO
75,53367,2022-095A,None,None,Active,None,CelesTrak,LEO
76,53368,2022-095B,None,None,Active,None,CelesTrak,LEO
77,53369,2022-095C,None,None,Active,None,CelesTrak,LEO
78,53371,2022-096B,None,None,Active,None,CelesTrak,LEO
79,53372,2022-096C,None,None,Active,None,CelesTrak,LEO
80,53379,2022-096K,None,None,Active,None,CelesTrak,LEO
81,53380,2022-096L,None,None,Active,None,CelesTrak,LEO
82,53444,2022-098A,None,None,Active,None,CelesTrak,LEO
83,53445,2022-098B,None,None,Active,None,CelesTrak,LEO
84,53446,2022-098C,None,None,Active,None,CelesTrak,LEO
85,53447,2022-098D,None,None,Active,None,CelesTrak,LEO
86,53448,2022-098E,None,None,Active,None,CelesTrak,LEO
87,53449,2022-098F,None,None,Active,None,CelesTrak,LEO
88,53450,2022-098G,None,None,Active,None,CelesTrak,LEO
89,53451,2022-098H,None,None,Active,None,CelesTrak,LEO
90,53452,2022-098J,None,None,Active,None,CelesTrak,LEO
91,53453,2022-098K,None,None,Active,None,CelesTrak,LEO
92,53454,2022-098L,None,None,Active,None,CelesTrak,LEO
93,53455,2022-098M,None,None,Active,None,CelesTrak,LEO
94,53456,2022-098N,None,None,Active,None,CelesTrak,LEO
95,53457,2022-098P,None,None,Active,None,CelesTrak,LEO
96,53458,2022-098Q,None,None,Active,None,CelesTrak,LEO
97,53459,2022-098R,None,None,Active,None,CelesTrak,LEO
98,53884,2022-118A,None,None,Active,None,CelesTrak,LEO
99,53885,2022-118B,None,None,Active,None,CelesTrak,LEO
100,53948,2022-121A,None,None,Active,None,CelesTrak,LEO
101,53949,2022-121B,None,None,Active,None,CelesTrak,LEO
102,53950,2022-121C,None,None,Active,None,CelesTrak,LEO
103,54251,2022-155A,None,None,Active,None,CelesTrak,LEO
104,54252,2022-155B,None,None,Active,None,CelesTrak,LEO
105,54253,2022-155C,None,None,Active,None,CelesTrak,LEO
